Date,Type,Lat,Long,Region,Text
2058-05-22,Partial,-63.5,61.1,Antarctic Ocean,"2058-05-22:: Partial: South Africa, Madagascar"
2058-06-21,Partial,65.9,9.9,North Atlantic Ocean,"2058-06-21:: Partial: Russia, Greenland, Norway, Sweden, Finland"
2058-11-16,Partial,62.9,174.2,Asia,"2058-11-16:: Partial: Russia, China, Mongolia, Japan"
2059-05-11,Total,-10.7,-100.4,South Pacific Ocean,"2059-05-11:: Total: central Pacific, Ecuador, Peru, Brazil; Partial: North, Central and South America"
2059-11-05,Annular,8.7,47.1,Africa,"2059-11-05:: Annular: France, Libya, Egypt, Sudan, Ethiopia, Eritrea, Somalia, Indonesia; Partial: Africa, Europe, Asia"
2060-04-30,Total,28,20.9,Africa,"2060-04-30:: Total: Ivory Coast, Ghana, Togo, Benin, Nigeria, Niger, Chad, Libya, Egypt, Turkey, Kazakhstan, Russia; Partial: Africa, Asia"
2060-10-24,Annular,-25.8,28.1,Africa,"2060-10-24:: Annular: Guinea, Sierra Leone, Liberia, Ivory Coast, Angola, Namibia, Botswana, South Africa; Partial: Africa, Antarctica, South America"
2061-04-20,Total,64.5,59.2,Asia,"2061-04-20:: Total: Kazakhstan, Russia; Partial: Asia, Middle East, North America"
2061-10-13,Annular,-62.1,-54.4,Antarctic Ocean,"2061-10-13:: Annular: Antarctica, Argentina, Chile; Partial: South America"
2062-03-11,Partial,-61,-147.1,Antarctic Ocean,"2062-03-11:: Partial: Antarctica, Australia, New Zealand"
2062-09-03,Partial,61.3,150.3,Asia,"2062-09-03:: Partial: Greenland, Europe, Asia"
2063-02-28,Annular,-25.2,77.7,Indian Ocean,"2063-02-28:: Annular: Indian Ocean, Indonesia, Malaysia, Borneo, Mindanao, Philippines; Partial: Africa, Indies, southeast Asia, the rest of Philippines, Antarctica, Australia"
2063-08-24,Total,25.6,168.4,North Pacific Ocean,"2063-08-24:: Total: China, Mongolia, Japan, central Pacific; Partial: Asia, central Pacific"
2064-02-17,Annular,7,69.7,Indian Ocean,"2064-02-17:: Annular: Zaire, Zambia, Tanzania, India, Nepal, Bangladesh, Bhutan, China; Partial: Africa, Asia"
2064-08-12,Total,-10.9,-96,South Pacific Ocean,"2064-08-12:: Total: Central Pacific, Chile, Argentina; Partial: Americas, Antarctica"
2065-02-05,Partial,62.2,-21.9,North Atlantic Ocean,"2065-02-05:: Partial: North America, Europe, West Asia"
2065-07-03,Partial,64.8,71.9,Asia,"2065-07-03:: Partial: northern Europe, Russia"
2065-08-02,Partial,-62.7,46.5,Antarctic Ocean,"2065-08-02:: Partial: Antarctica, South Africa, Madagascar"
2065-12-27,Partial,-65.4,-149.2,Antarctic Ocean,"2065-12-27:: Partial: Chile, Argentina, Antarctica, Australia"
2066-06-22,Annular,70.1,-96.4,North America,"2066-06-22:: Annular: Russia, Alaska, Canada; Partial: North America, northern Europe, north Asia"
2066-12-17,Total,-47.4,175.8,South Pacific Ocean,"2066-12-17:: Total: Australia, New Zealand, south Pacific; Partial: Australia, Antarctica, New Zealand"
2067-06-11,Annular,21,-130.2,North Pacific Ocean,"2067-06-11:: Annular: central Pacific, Ecuador, Peru; Partial: Americas"
2067-12-06,Hybrid,-6,-32.4,South Atlantic Ocean,"2067-12-06:: Hybrid: Honduras, Nicaragua, Colombia, Venezuela, Guyana, Brazil, Nigeria, Cameroon, Chad, Sudan; Partial: Americas, Africa, south Europe"
2068-05-31,Total,-31,123.2,Australia,"2068-05-31:: Total: Australia, New Zealand; Partial: Indies, Australia, Antarctica"
2068-11-24,Partial,68.5,-131.1,North America,"2068-11-24:: Partial: North America, Russia"
2069-04-21,Partial,71,-101.3,Arctic Ocean,"2069-04-21:: Partial: Europe, Asia, north Africa, North America"
2069-05-20,Partial,-68.8,-69.9,Antarctic Ocean,"2069-05-20:: Partial: South America, Antarctica"
2069-10-15,Partial,-71.6,-5.5,Antarctica,2069-10-15:: Partial: Antarctica
